Testing Results: Prec@1 89.961 Prec@5 99.738 Loss 0.51026
Best Prec@1: 92.257

Epoch: [17][0/105], lr: 0.00100	Time 16.261 (16.261)	Data 14.372 (14.372)	Loss 0.1201 (0.1201)	Prec@1 94.444 (94.444)	Prec@5 100.000 (100.000)
Epoch: [17][20/105], lr: 0.00100	Time 1.890 (2.642)	Data 0.000 (0.684)	Loss 0.0874 (0.1320)	Prec@1 98.611 (95.370)	Prec@5 100.000 (99.868)
Epoch: [17][40/105], lr: 0.00100	Time 1.901 (2.316)	Data 0.000 (0.351)	Loss 0.3743 (0.1578)	Prec@1 87.500 (94.919)	Prec@5 100.000 (99.831)
Epoch: [17][60/105], lr: 0.00100	Time 2.109 (2.202)	Data 0.000 (0.236)	Loss 0.1525 (0.1670)	Prec@1 93.056 (94.740)	Prec@5 100.000 (99.795)
Epoch: [17][80/105], lr: 0.00100	Time 1.900 (2.140)	Data 0.000 (0.178)	Loss 0.0945 (0.1625)	Prec@1 95.833 (94.770)	Prec@5 100.000 (99.846)
Epoch: [17][100/105], lr: 0.00100	Time 1.900 (2.094)	Data 0.000 (0.142)	Loss 0.1165 (0.1617)	Prec@1 97.222 (94.816)	Prec@5 100.000 (99.849)
Test: [0/22]	Time 12.541 (12.541)	Loss 0.7163 (0.7163)	Prec@1 90.278 (90.278)	Prec@5 98.611 (98.611)
Test: [20/22]	Time 0.957 (1.556)	Loss 1.2663 (0.5618)	Prec@1 75.000 (89.616)	Prec@5 97.222 (99.206)
Testing Results: Prec@1 89.698 Prec@5 99.213 Loss 0.55736
Best Prec@1: 92.257

Epoch: [18][0/105], lr: 0.00100	Time 16.033 (16.033)	Data 14.094 (14.094)	Loss 0.1244 (0.1244)	Prec@1 94.444 (94.444)	Prec@5 100.000 (100.000)
Epoch: [18][20/105], lr: 0.00100	Time 1.890 (2.640)	Data 0.000 (0.671)	Loss 0.1402 (0.1429)	Prec@1 95.833 (95.040)	Prec@5 100.000 (99.934)
Epoch: [18][40/105], lr: 0.00100	Time 2.030 (2.316)	Data 0.000 (0.344)	Loss 0.1487 (0.1432)	Prec@1 91.667 (95.020)	Prec@5 98.611 (99.932)
