Epoch: [17][20/118], lr: 0.00010	Time 1.669 (1.866)	Data 0.000 (0.185)	Loss 0.2769 (0.3392)	Prec@1 89.062 (86.756)	Prec@5 100.000 (99.107)
Epoch: [17][40/118], lr: 0.00010	Time 1.679 (1.779)	Data 0.000 (0.095)	Loss 0.3741 (0.3453)	Prec@1 81.250 (86.395)	Prec@5 100.000 (99.352)
Epoch: [17][60/118], lr: 0.00010	Time 1.672 (1.749)	Data 0.000 (0.064)	Loss 0.5814 (0.3437)	Prec@1 79.688 (86.527)	Prec@5 100.000 (99.436)
Epoch: [17][80/118], lr: 0.00010	Time 1.680 (1.736)	Data 0.000 (0.048)	Loss 0.3239 (0.3428)	Prec@1 89.062 (86.709)	Prec@5 98.438 (99.479)
Epoch: [17][100/118], lr: 0.00010	Time 1.668 (1.727)	Data 0.000 (0.039)	Loss 0.3737 (0.3393)	Prec@1 90.625 (87.036)	Prec@5 100.000 (99.474)
Test: [0/24]	Time 3.904 (3.904)	Loss 1.0466 (1.0466)	Prec@1 64.062 (64.062)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.769 (0.932)	Loss 2.2748 (1.0506)	Prec@1 46.875 (70.982)	Prec@5 93.750 (98.810)
Testing Results: Prec@1 72.572 Prec@5 98.950 Loss 0.98967
Best Prec@1: 79.921

Epoch: [18][0/118], lr: 0.00010	Time 5.674 (5.674)	Data 3.930 (3.930)	Loss 0.4577 (0.4577)	Prec@1 85.938 (85.938)	Prec@5 98.438 (98.438)
Epoch: [18][20/118], lr: 0.00010	Time 1.677 (1.862)	Data 0.000 (0.187)	Loss 0.3508 (0.3163)	Prec@1 89.062 (89.211)	Prec@5 100.000 (99.554)
Epoch: [18][40/118], lr: 0.00010	Time 1.743 (1.778)	Data 0.000 (0.096)	Loss 0.3811 (0.3458)	Prec@1 85.938 (87.729)	Prec@5 98.438 (99.505)
