Epoch: [0][1600/2049], lr: 0.00100	Time 0.061 (0.061)	Data 0.000 (0.001)	Loss 3.0132 (2.5081)	Prec@1 0.000 (22.923)	Prec@5 0.000 (64.460)
Epoch: [0][1620/2049], lr: 0.00100	Time 0.053 (0.061)	Data 0.000 (0.001)	Loss 3.6099 (2.5018)	Prec@1 0.000 (23.072)	Prec@5 0.000 (64.590)
Epoch: [0][1640/2049], lr: 0.00100	Time 0.061 (0.060)	Data 0.000 (0.001)	Loss 2.4088 (2.4966)	Prec@1 0.000 (23.096)	Prec@5 100.000 (64.717)
Epoch: [0][1660/2049], lr: 0.00100	Time 0.067 (0.060)	Data 0.000 (0.001)	Loss 2.6655 (2.4995)	Prec@1 0.000 (22.938)	Prec@5 0.000 (64.720)
Epoch: [0][1680/2049], lr: 0.00100	Time 0.065 (0.060)	Data 0.000 (0.001)	Loss 1.9801 (2.5006)	Prec@1 0.000 (22.665)	Prec@5 100.000 (64.783)
Epoch: [0][1700/2049], lr: 0.00100	Time 0.062 (0.060)	Data 0.000 (0.001)	Loss 4.4917 (2.4959)	Prec@1 0.000 (22.693)	Prec@5 0.000 (65.021)
Epoch: [0][1720/2049], lr: 0.00100	Time 0.053 (0.060)	Data 0.000 (0.001)	Loss 2.9556 (2.4887)	Prec@1 0.000 (22.777)	Prec@5 0.000 (65.137)
Epoch: [0][1740/2049], lr: 0.00100	Time 0.066 (0.060)	Data 0.000 (0.001)	Loss 2.2551 (2.4856)	Prec@1 0.000 (22.746)	Prec@5 100.000 (65.250)
Epoch: [0][1760/2049], lr: 0.00100	Time 0.050 (0.060)	Data 0.000 (0.001)	Loss 2.6143 (2.4779)	Prec@1 0.000 (22.771)	Prec@5 0.000 (65.474)
Epoch: [0][1780/2049], lr: 0.00100	Time 0.052 (0.060)	Data 0.000 (0.001)	Loss 2.8236 (2.4716)	Prec@1 0.000 (22.908)	Prec@5 100.000 (65.693)
Epoch: [0][1800/2049], lr: 0.00100	Time 0.060 (0.060)	Data 0.000 (0.001)	Loss 3.1232 (2.4716)	Prec@1 0.000 (22.932)	Prec@5 0.000 (65.686)
Epoch: [0][1820/2049], lr: 0.00100	Time 0.058 (0.060)	Data 0.000 (0.001)	Loss 2.6055 (2.4655)	Prec@1 0.000 (22.900)	Prec@5 100.000 (65.843)
Epoch: [0][1840/2049], lr: 0.00100	Time 0.065 (0.060)	Data 0.000 (0.001)	Loss 1.7641 (2.4599)	Prec@1 0.000 (23.031)	Prec@5 100.000 (65.888)
Epoch: [0][1860/2049], lr: 0.00100	Time 0.054 (0.060)	Data 0.000 (0.001)	Loss 0.3208 (2.4609)	Prec@1 100.000 (23.267)	Prec@5 100.000 (66.040)
Epoch: [0][1880/2049], lr: 0.00100	Time 0.057 (0.060)	Data 0.000 (0.001)	Loss 1.8892 (2.4549)	Prec@1 0.000 (23.339)	Prec@5 100.000 (66.082)
Epoch: [0][1900/2049], lr: 0.00100	Time 0.056 (0.060)	Data 0.000 (0.001)	Loss 3.1003 (2.4547)	Prec@1 0.000 (23.409)	Prec@5 0.000 (66.176)
Epoch: [0][1920/2049], lr: 0.00100	Time 0.062 (0.060)	Data 0.000 (0.001)	Loss 2.2865 (2.4522)	Prec@1 0.000 (23.373)	Prec@5 100.000 (66.216)
Epoch: [0][1940/2049], lr: 0.00100	Time 0.057 (0.060)	Data 0.000 (0.001)	Loss 0.0000 (2.4458)	Prec@1 100.000 (23.545)	Prec@5 100.000 (66.306)
Epoch: [0][1960/2049], lr: 0.00100	Time 0.052 (0.060)	Data 0.000 (0.001)	Loss 2.5792 (2.4387)	Prec@1 0.000 (23.763)	Prec@5 0.000 (66.497)
Epoch: [0][1980/2049], lr: 0.00100	Time 0.060 (0.060)	Data 0.000 (0.001)	Loss 1.5747 (2.4325)	Prec@1 0.000 (24.028)	Prec@5 100.000 (66.633)
Epoch: [0][2000/2049], lr: 0.00100	Time 0.055 (0.060)	Data 0.000 (0.001)	Loss 0.9490 (2.4330)	Prec@1 100.000 (24.188)	Prec@5 100.000 (66.767)
Epoch: [0][2020/2049], lr: 0.00100	Time 0.053 (0.060)	Data 0.000 (0.001)	Loss 1.3364 (2.4275)	Prec@1 0.000 (24.245)	Prec@5 100.000 (67.046)
Epoch: [0][2040/2049], lr: 0.00100	Time 0.055 (0.060)	Data 0.000 (0.001)	Loss 1.7146 (2.4289)	Prec@1 0.000 (24.204)	Prec@5 100.000 (67.173)
Test: [0/410]	Time 0.562 (0.562)	Loss 3.7347 (3.7347)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [20/410]	Time 0.020 (0.047)	Loss 3.2232 (2.3585)	Prec@1 0.000 (0.000)	Prec@5 0.000 (57.143)
Test: [40/410]	Time 0.019 (0.034)	Loss 2.2921 (2.4175)	Prec@1 0.000 (0.000)	Prec@5 100.000 (70.732)
Test: [60/410]	Time 0.021 (0.030)	Loss 2.3873 (2.3184)	Prec@1 0.000 (0.000)	Prec@5 100.000 (80.328)
Test: [80/410]	Time 0.019 (0.027)	Loss 2.6586 (2.3975)	Prec@1 0.000 (0.000)	Prec@5 100.000 (85.185)
Test: [100/410]	Time 0.020 (0.026)	Loss 1.5704 (2.3073)	Prec@1 0.000 (1.980)	Prec@5 100.000 (87.129)
Test: [120/410]	Time 0.020 (0.025)	Loss 2.2990 (2.1228)	Prec@1 0.000 (9.091)	Prec@5 100.000 (89.256)
Test: [140/410]	Time 0.025 (0.025)	Loss 2.5923 (2.2042)	Prec@1 0.000 (7.801)	Prec@5 100.000 (89.362)
Test: [160/410]	Time 0.021 (0.024)	Loss 6.2608 (2.5026)	Prec@1 0.000 (6.832)	Prec@5 0.000 (82.609)
Test: [180/410]	Time 0.022 (0.024)	Loss 1.7517 (2.6477)	Prec@1 0.000 (6.077)	Prec@5 100.000 (76.796)
Test: [200/410]	Time 0.020 (0.023)	Loss 2.7915 (2.6152)	Prec@1 0.000 (5.473)	Prec@5 100.000 (77.612)
Test: [220/410]	Time 0.020 (0.023)	Loss 2.8415 (2.5624)	Prec@1 0.000 (6.335)	Prec@5 0.000 (77.376)
Test: [240/410]	Time 0.021 (0.023)	Loss 0.1583 (2.5294)	Prec@1 100.000 (8.299)	Prec@5 100.000 (76.349)
Test: [260/410]	Time 0.019 (0.023)	Loss 0.9587 (2.4161)	Prec@1 100.000 (12.644)	Prec@5 100.000 (77.778)
Test: [280/410]	Time 0.019 (0.023)	Loss 1.4843 (2.3495)	Prec@1 100.000 (16.726)	Prec@5 100.000 (79.004)
Test: [300/410]	Time 0.020 (0.023)	Loss 1.7938 (2.3347)	Prec@1 0.000 (18.937)	Prec@5 100.000 (78.405)
Test: [320/410]	Time 0.020 (0.022)	Loss 6.0259 (2.3994)	Prec@1 0.000 (19.938)	Prec@5 100.000 (78.816)
Test: [340/410]	Time 0.020 (0.022)	Loss 0.0612 (2.2595)	Prec@1 100.000 (24.633)	Prec@5 100.000 (80.059)
Test: [360/410]	Time 0.019 (0.022)	Loss 1.6000 (2.2420)	Prec@1 100.000 (27.147)	Prec@5 100.000 (80.332)
Test: [380/410]	Time 0.018 (0.022)	Loss 0.8434 (2.1771)	Prec@1 100.000 (30.971)	Prec@5 100.000 (81.365)
Test: [400/410]	Time 0.018 (0.022)	Loss 2.4003 (2.1808)	Prec@1 0.000 (31.421)	Prec@5 100.000 (80.299)
Testing Results: Prec@1 30.732 Prec@5 79.024 Loss 2.22901
Best Prec@1: 30.732

Epoch: [1][0/2049], lr: 0.00100	Time 0.571 (0.571)	Data 0.488 (0.488)	Loss 2.1825 (2.1825)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Epoch: [1][20/2049], lr: 0.00100	Time 0.060 (0.103)	Data 0.000 (0.040)	Loss 1.9358 (2.5891)	Prec@1 0.000 (19.048)	Prec@5 100.000 (71.429)
Epoch: [1][40/2049], lr: 0.00100	Time 0.063 (0.081)	Data 0.000 (0.021)	Loss 3.5337 (2.3607)	Prec@1 0.000 (19.512)	Prec@5 100.000 (80.488)
Epoch: [1][60/2049], lr: 0.00100	Time 0.055 (0.074)	Data 0.000 (0.014)	Loss 2.2779 (2.1932)	Prec@1 0.000 (27.869)	Prec@5 100.000 (81.967)
Epoch: [1][80/2049], lr: 0.00100	Time 0.051 (0.069)	Data 0.000 (0.011)	Loss 0.7317 (2.0831)	Prec@1 100.000 (29.630)	Prec@5 100.000 (82.716)
Epoch: [1][100/2049], lr: 0.00100	Time 0.052 (0.066)	Data 0.000 (0.008)	Loss 1.3379 (2.0260)	Prec@1 0.000 (30.693)	Prec@5 100.000 (85.149)
Epoch: [1][120/2049], lr: 0.00100	Time 0.051 (0.065)	Data 0.000 (0.007)	Loss 0.6624 (2.0540)	Prec@1 100.000 (32.231)	Prec@5 100.000 (85.950)
Epoch: [1][140/2049], lr: 0.00100	Time 0.056 (0.064)	Data 0.000 (0.006)	Loss 3.2216 (2.0036)	Prec@1 0.000 (33.333)	Prec@5 0.000 (85.106)
Epoch: [1][160/2049], lr: 0.00100	Time 0.058 (0.063)	Data 0.000 (0.005)	Loss 0.1154 (1.9928)	Prec@1 100.000 (36.025)	Prec@5 100.000 (84.472)
Epoch: [1][180/2049], lr: 0.00100	Time 0.060 (0.062)	Data 0.000 (0.005)	Loss 3.2949 (1.9980)	Prec@1 0.000 (33.702)	Prec@5 0.000 (85.083)
Epoch: [1][200/2049], lr: 0.00100	Time 0.055 (0.061)	Data 0.000 (0.004)	Loss 3.6999 (1.9687)	Prec@1 0.000 (33.831)	Prec@5 0.000 (85.075)
Epoch: [1][220/2049], lr: 0.00100	Time 0.060 (0.061)	Data 0.000 (0.004)	Loss 1.2516 (2.0248)	Prec@1 100.000 (34.389)	Prec@5 100.000 (85.068)
Epoch: [1][240/2049], lr: 0.00100	Time 0.052 (0.061)	Data 0.000 (0.004)	Loss 1.9589 (2.0706)	Prec@1 0.000 (33.610)	Prec@5 100.000 (85.477)
Epoch: [1][260/2049], lr: 0.00100	Time 0.058 (0.060)	Data 0.000 (0.003)	Loss 2.3004 (2.0967)	Prec@1 0.000 (33.333)	Prec@5 100.000 (84.674)
Epoch: [1][280/2049], lr: 0.00100	Time 0.050 (0.060)	Data 0.000 (0.003)	Loss 0.9283 (2.0953)	Prec@1 100.000 (33.096)	Prec@5 100.000 (83.986)
Epoch: [1][300/2049], lr: 0.00100	Time 0.064 (0.060)	Data 0.000 (0.003)	Loss 0.2118 (2.0667)	Prec@1 100.000 (33.555)	Prec@5 100.000 (84.385)
Epoch: [1][320/2049], lr: 0.00100	Time 0.056 (0.060)	Data 0.000 (0.003)	Loss 0.8015 (2.0496)	Prec@1 100.000 (34.268)	Prec@5 100.000 (85.047)
Epoch: [1][340/2049], lr: 0.00100	Time 0.051 (0.060)	Data 0.000 (0.003)	Loss 2.9361 (2.0362)	Prec@1 0.000 (34.604)	Prec@5 0.000 (85.044)
Epoch: [1][360/2049], lr: 0.00100	Time 0.054 (0.059)	Data 0.000 (0.002)	Loss 0.4192 (2.0072)	Prec@1 100.000 (35.457)	Prec@5 100.000 (85.319)
Epoch: [1][380/2049], lr: 0.00100	Time 0.052 (0.059)	Data 0.000 (0.002)	Loss 0.0360 (2.0027)	Prec@1 100.000 (35.171)	Prec@5 100.000 (85.302)
Epoch: [1][400/2049], lr: 0.00100	Time 0.059 (0.059)	Data 0.000 (0.002)	Loss 0.2080 (1.9924)	Prec@1 100.000 (35.162)	Prec@5 100.000 (85.536)
Epoch: [1][420/2049], lr: 0.00100	Time 0.059 (0.059)	Data 0.000 (0.002)	Loss 2.3236 (1.9907)	Prec@1 0.000 (35.392)	Prec@5 100.000 (85.511)
Epoch: [1][440/2049], lr: 0.00100	Time 0.051 (0.058)	Data 0.000 (0.002)	Loss 2.6484 (1.9888)	Prec@1 0.000 (35.601)	Prec@5 100.000 (85.488)
Epoch: [1][460/2049], lr: 0.00100	Time 0.055 (0.058)	Data 0.000 (0.002)	Loss 3.0949 (1.9629)	Prec@1 0.000 (36.876)	Prec@5 0.000 (85.249)
Epoch: [1][480/2049], lr: 0.00100	Time 0.064 (0.058)	Data 0.000 (0.002)	Loss 20.3116 (2.0057)	Prec@1 0.000 (36.175)	Prec@5 100.000 (85.239)
