Epoch: [8][60/123], lr: 0.00010	Time 0.361 (0.412)	Data 0.000 (0.053)	Loss 0.0008 (0.0932)	Prec@1 100.000 (97.131)	Prec@5 100.000 (100.000)
Epoch: [8][80/123], lr: 0.00010	Time 0.353 (0.397)	Data 0.000 (0.040)	Loss 0.1010 (0.0839)	Prec@1 100.000 (97.531)	Prec@5 100.000 (100.000)
Epoch: [8][100/123], lr: 0.00010	Time 0.305 (0.385)	Data 0.000 (0.032)	Loss 0.0015 (0.0897)	Prec@1 100.000 (97.525)	Prec@5 100.000 (100.000)
Epoch: [8][120/123], lr: 0.00010	Time 0.350 (0.374)	Data 0.000 (0.027)	Loss 0.0056 (0.0826)	Prec@1 100.000 (97.521)	Prec@5 100.000 (100.000)
Test: [0/49]	Time 2.345 (2.345)	Loss 0.0009 (0.0009)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.153 (0.287)	Loss 0.0779 (0.0199)	Prec@1 100.000 (99.405)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.135 (0.213)	Loss 0.0045 (0.0691)	Prec@1 100.000 (97.866)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 98.201 Prec@5 100.000 Loss 0.05857
Best Prec@1: 98.201

Epoch: [9][0/123], lr: 0.00010	Time 2.962 (2.962)	Data 2.486 (2.486)	Loss 0.1577 (0.1577)	Prec@1 87.500 (87.500)	Prec@5 100.000 (100.000)
Epoch: [9][20/123], lr: 0.00010	Time 0.374 (0.499)	Data 0.000 (0.119)	Loss 0.0004 (0.0180)	Prec@1 100.000 (98.810)	Prec@5 100.000 (100.000)
Epoch: [9][40/123], lr: 0.00010	Time 0.328 (0.431)	Data 0.000 (0.062)	Loss 0.0080 (0.0797)	Prec@1 100.000 (96.646)	Prec@5 100.000 (99.695)
Epoch: [9][60/123], lr: 0.00010	Time 0.359 (0.407)	Data 0.000 (0.042)	Loss 0.0386 (0.0810)	Prec@1 100.000 (96.926)	Prec@5 100.000 (99.795)
Epoch: [9][80/123], lr: 0.00010	Time 0.336 (0.394)	Data 0.000 (0.032)	Loss 0.1053 (0.1000)	Prec@1 100.000 (96.605)	Prec@5 100.000 (99.846)
Epoch: [9][100/123], lr: 0.00010	Time 0.312 (0.384)	Data 0.000 (0.025)	Loss 0.0006 (0.1051)	Prec@1 100.000 (96.906)	Prec@5 100.000 (99.876)
Epoch: [9][120/123], lr: 0.00010	Time 0.264 (0.377)	Data 0.000 (0.021)	Loss 0.0016 (0.0960)	Prec@1 100.000 (97.107)	Prec@5 100.000 (99.897)
Test: [0/49]	Time 2.288 (2.288)	Loss 0.0003 (0.0003)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.145 (0.278)	Loss 0.5181 (0.0385)	Prec@1 62.500 (98.214)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.124 (0.211)	Loss 0.0003 (0.0810)	Prec@1 100.000 (96.951)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 97.429 Prec@5 100.000 Loss 0.06838
Best Prec@1: 98.201

Epoch: [10][0/123], lr: 0.00010	Time 3.175 (3.175)	Data 2.761 (2.761)	Loss 0.0002 (0.0002)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [10][20/123], lr: 0.00010	Time 0.384 (0.507)	Data 0.016 (0.132)	Loss 0.0002 (0.0728)	Prec@1 100.000 (97.024)	Prec@5 100.000 (100.000)
Epoch: [10][40/123], lr: 0.00010	Time 0.359 (0.439)	Data 0.000 (0.068)	Loss 0.0012 (0.1029)	Prec@1 100.000 (97.256)	Prec@5 100.000 (100.000)
Epoch: [10][60/123], lr: 0.00010	Time 0.363 (0.411)	Data 0.002 (0.046)	Loss 0.2116 (0.1081)	Prec@1 87.500 (96.721)	Prec@5 100.000 (100.000)
Epoch: [10][80/123], lr: 0.00010	Time 0.294 (0.394)	Data 0.000 (0.035)	Loss 0.0061 (0.0895)	Prec@1 100.000 (97.222)	Prec@5 100.000 (100.000)
Epoch: [10][100/123], lr: 0.00010	Time 0.311 (0.382)	Data 0.000 (0.028)	Loss 0.0238 (0.0897)	Prec@1 100.000 (97.401)	Prec@5 100.000 (100.000)
Epoch: [10][120/123], lr: 0.00010	Time 0.284 (0.374)	Data 0.000 (0.024)	Loss 0.0996 (0.0880)	Prec@1 87.500 (97.107)	Prec@5 100.000 (100.000)
Test: [0/49]	Time 2.253 (2.253)	Loss 0.0003 (0.0003)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.150 (0.278)	Loss 0.1800 (0.0294)	Prec@1 87.500 (98.214)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.146 (0.212)	Loss 0.0001 (0.1017)	Prec@1 100.000 (96.951)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 97.429 Prec@5 100.000 Loss 0.08609
Best Prec@1: 98.201

Epoch: [11][0/123], lr: 0.00010	Time 3.168 (3.168)	Data 2.722 (2.722)	Loss 0.1695 (0.1695)	Prec@1 87.500 (87.500)	Prec@5 100.000 (100.000)
Epoch: [11][20/123], lr: 0.00010	Time 0.341 (0.477)	Data 0.000 (0.130)	Loss 0.0030 (0.0177)	Prec@1 100.000 (99.405)	Prec@5 100.000 (100.000)
Epoch: [11][40/123], lr: 0.00010	Time 0.308 (0.412)	Data 0.000 (0.067)	Loss 0.0003 (0.0197)	Prec@1 100.000 (99.085)	Prec@5 100.000 (100.000)
Epoch: [11][60/123], lr: 0.00010	Time 0.368 (0.395)	Data 0.000 (0.045)	Loss 0.0053 (0.0248)	Prec@1 100.000 (98.770)	Prec@5 100.000 (100.000)
Epoch: [11][80/123], lr: 0.00010	Time 0.334 (0.385)	Data 0.000 (0.034)	Loss 0.0027 (0.0403)	Prec@1 100.000 (98.457)	Prec@5 100.000 (100.000)
Epoch: [11][100/123], lr: 0.00010	Time 0.299 (0.377)	Data 0.000 (0.027)	Loss 0.0037 (0.0442)	Prec@1 100.000 (98.391)	Prec@5 100.000 (100.000)
Epoch: [11][120/123], lr: 0.00010	Time 0.403 (0.369)	Data 0.000 (0.023)	Loss 0.0009 (0.0597)	Prec@1 100.000 (97.831)	Prec@5 100.000 (100.000)
Test: [0/49]	Time 2.362 (2.362)	Loss 0.2451 (0.2451)	Prec@1 87.500 (87.500)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.089 (0.280)	Loss 0.0715 (0.1622)	Prec@1 100.000 (94.048)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.153 (0.213)	Loss 0.0001 (0.1231)	Prec@1 100.000 (95.427)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 96.144 Prec@5 100.000 Loss 0.10401
Best Prec@1: 98.201

Epoch: [12][0/123], lr: 0.00010	Time 3.581 (3.581)	Data 3.203 (3.203)	Loss 0.0012 (0.0012)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [12][20/123], lr: 0.00010	Time 0.350 (0.508)	Data 0.006 (0.158)	Loss 0.0001 (0.0675)	Prec@1 100.000 (97.619)	Prec@5 100.000 (100.000)
Epoch: [12][40/123], lr: 0.00010	Time 0.420 (0.428)	Data 0.001 (0.081)	Loss 0.0308 (0.0579)	Prec@1 100.000 (97.866)	Prec@5 100.000 (100.000)
Epoch: [12][60/123], lr: 0.00010	Time 0.343 (0.405)	Data 0.000 (0.055)	Loss 0.1047 (0.0672)	Prec@1 87.500 (97.541)	Prec@5 100.000 (100.000)
Epoch: [12][80/123], lr: 0.00010	Time 0.373 (0.389)	Data 0.003 (0.042)	Loss 0.0000 (0.0567)	Prec@1 100.000 (97.840)	Prec@5 100.000 (100.000)
Epoch: [12][100/123], lr: 0.00010	Time 0.330 (0.382)	Data 0.000 (0.034)	Loss 0.0001 (0.0686)	Prec@1 100.000 (97.772)	Prec@5 100.000 (99.876)
Epoch: [12][120/123], lr: 0.00010	Time 0.312 (0.376)	Data 0.000 (0.028)	Loss 0.0502 (0.0648)	Prec@1 100.000 (97.831)	Prec@5 100.000 (99.897)
Test: [0/49]	Time 2.659 (2.659)	Loss 0.0011 (0.0011)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.196 (0.304)	Loss 0.0033 (0.0085)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.124 (0.227)	Loss 0.0004 (0.0719)	Prec@1 100.000 (97.256)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 97.686 Prec@5 100.000 Loss 0.06136
Best Prec@1: 98.201

Epoch: [13][0/123], lr: 0.00010	Time 3.093 (3.093)	Data 2.672 (2.672)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [13][20/123], lr: 0.00010	Time 0.344 (0.492)	Data 0.000 (0.127)	Loss 0.1554 (0.1150)	Prec@1 100.000 (97.024)	Prec@5 100.000 (100.000)
Epoch: [13][40/123], lr: 0.00010	Time 0.333 (0.423)	Data 0.000 (0.066)	Loss 0.0000 (0.0674)	Prec@1 100.000 (98.171)	Prec@5 100.000 (100.000)
Epoch: [13][60/123], lr: 0.00010	Time 0.327 (0.398)	Data 0.000 (0.044)	Loss 0.0000 (0.0515)	Prec@1 100.000 (98.361)	Prec@5 100.000 (100.000)
Epoch: [13][80/123], lr: 0.00010	Time 0.368 (0.385)	Data 0.000 (0.033)	Loss 0.2840 (0.0667)	Prec@1 87.500 (98.302)	Prec@5 100.000 (100.000)
Epoch: [13][100/123], lr: 0.00010	Time 0.355 (0.374)	Data 0.000 (0.027)	Loss 0.0007 (0.0671)	Prec@1 100.000 (98.267)	Prec@5 100.000 (100.000)
Epoch: [13][120/123], lr: 0.00010	Time 0.315 (0.368)	Data 0.000 (0.022)	Loss 0.0001 (0.0633)	Prec@1 100.000 (98.244)	Prec@5 100.000 (100.000)
Test: [0/49]	Time 2.085 (2.085)	Loss 0.0910 (0.0910)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.166 (0.273)	Loss 0.1870 (0.1035)	Prec@1 87.500 (96.429)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.193 (0.216)	Loss 0.0001 (0.0973)	Prec@1 100.000 (96.646)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 97.172 Prec@5 100.000 Loss 0.08228
Best Prec@1: 98.201

Epoch: [14][0/123], lr: 0.00010	Time 3.137 (3.137)	Data 2.732 (2.732)	Loss 0.0180 (0.0180)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [14][20/123], lr: 0.00010	Time 0.364 (0.486)	Data 0.005 (0.131)	Loss 0.0107 (0.0072)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [14][40/123], lr: 0.00010	Time 0.402 (0.423)	Data 0.005 (0.068)	Loss 0.0052 (0.0225)	Prec@1 100.000 (99.390)	Prec@5 100.000 (100.000)
Epoch: [14][60/123], lr: 0.00010	Time 0.298 (0.401)	Data 0.000 (0.046)	Loss 0.0012 (0.0290)	Prec@1 100.000 (98.975)	Prec@5 100.000 (100.000)
Epoch: [14][80/123], lr: 0.00010	Time 0.323 (0.387)	Data 0.000 (0.034)	Loss 0.0000 (0.0448)	Prec@1 100.000 (98.611)	Prec@5 100.000 (100.000)
Epoch: [14][100/123], lr: 0.00010	Time 0.341 (0.383)	Data 0.000 (0.028)	Loss 0.6090 (0.0471)	Prec@1 87.500 (98.639)	Prec@5 100.000 (100.000)
Epoch: [14][120/123], lr: 0.00010	Time 0.312 (0.374)	Data 0.000 (0.023)	Loss 0.0000 (0.0464)	Prec@1 100.000 (98.554)	Prec@5 100.000 (100.000)
Test: [0/49]	Time 2.099 (2.099)	Loss 0.0147 (0.0147)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.221 (0.267)	Loss 1.6152 (0.0972)	Prec@1 62.500 (97.024)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.143 (0.210)	Loss 0.0000 (0.0968)	Prec@1 100.000 (96.646)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 97.172 Prec@5 100.000 Loss 0.08182
Best Prec@1: 98.201

Epoch: [15][0/123], lr: 0.00010	Time 2.979 (2.979)	Data 2.499 (2.499)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
