Epoch: [1][220/2049], lr: 0.00100	Time 0.196 (0.199)	Data 0.000 (0.003)	Loss 2.4342 (1.6775)	Prec@1 0.000 (43.439)	Prec@5 100.000 (92.760)
Epoch: [1][240/2049], lr: 0.00100	Time 0.197 (0.199)	Data 0.000 (0.003)	Loss 3.1760 (1.6914)	Prec@1 0.000 (43.154)	Prec@5 100.000 (91.701)
Epoch: [1][260/2049], lr: 0.00100	Time 0.194 (0.198)	Data 0.000 (0.002)	Loss 2.7862 (1.7034)	Prec@1 0.000 (41.379)	Prec@5 0.000 (91.571)
Epoch: [1][280/2049], lr: 0.00100	Time 0.194 (0.198)	Data 0.000 (0.002)	Loss 1.0472 (1.6822)	Prec@1 0.000 (41.637)	Prec@5 100.000 (91.815)
Epoch: [1][300/2049], lr: 0.00100	Time 0.195 (0.198)	Data 0.000 (0.002)	Loss 0.8919 (1.6336)	Prec@1 0.000 (42.193)	Prec@5 100.000 (92.359)
Epoch: [1][320/2049], lr: 0.00100	Time 0.197 (0.198)	Data 0.000 (0.002)	Loss 2.6262 (1.6352)	Prec@1 0.000 (42.368)	Prec@5 100.000 (92.523)
Epoch: [1][340/2049], lr: 0.00100	Time 0.194 (0.198)	Data 0.000 (0.002)	Loss 2.5952 (1.6293)	Prec@1 0.000 (42.522)	Prec@5 0.000 (91.789)
Epoch: [1][360/2049], lr: 0.00100	Time 0.195 (0.198)	Data 0.000 (0.002)	Loss 1.5876 (1.6075)	Prec@1 0.000 (42.936)	Prec@5 100.000 (92.244)
Epoch: [1][380/2049], lr: 0.00100	Time 0.197 (0.198)	Data 0.000 (0.002)	Loss 3.1758 (1.6014)	Prec@1 0.000 (43.045)	Prec@5 100.000 (92.388)
Epoch: [1][400/2049], lr: 0.00100	Time 0.193 (0.198)	Data 0.000 (0.002)	Loss 0.6279 (1.5743)	Prec@1 100.000 (44.389)	Prec@5 100.000 (92.519)
Epoch: [1][420/2049], lr: 0.00100	Time 0.198 (0.198)	Data 0.000 (0.002)	Loss 0.9263 (1.5812)	Prec@1 100.000 (44.181)	Prec@5 100.000 (92.637)
Epoch: [1][440/2049], lr: 0.00100	Time 0.191 (0.197)	Data 0.000 (0.001)	Loss 1.7950 (1.5744)	Prec@1 0.000 (43.991)	Prec@5 100.000 (92.744)
Epoch: [1][460/2049], lr: 0.00100	Time 0.194 (0.197)	Data 0.000 (0.001)	Loss 1.3257 (1.5939)	Prec@1 0.000 (43.818)	Prec@5 100.000 (92.191)
Epoch: [1][480/2049], lr: 0.00100	Time 0.199 (0.197)	Data 0.000 (0.001)	Loss 0.0811 (1.5881)	Prec@1 100.000 (43.867)	Prec@5 100.000 (92.308)
Epoch: [1][500/2049], lr: 0.00100	Time 0.198 (0.197)	Data 0.000 (0.001)	Loss 7.3167 (1.5759)	Prec@1 0.000 (44.711)	Prec@5 0.000 (92.415)
